sonde,hr,tem,u_wind,v_wind,sid,sshs,rmw,quad,dist,duct
data/sondes/qc/HURR1_/g061329026QC.nc,0.00278908413775391,208.91000213623045,16.160988,2.180609,2010176N16278,0.0,20.0,1,775.5176132527565,False
data/sondes/qc/HURR1_/g062249085QC.nc,0.0021757590559622025,207.85999908447263,21.188759,-5.6499357,2010176N16278,0.0,20.0,1,953.7877271360454,False
data/sondes/qc/HURR1_/g062439050QC.nc,0.0029475995777603786,207.9899963378906,-13.962467,-6.022393,2010176N16278,0.0,20.0,2,332.6639962548186,False
data/sondes/qc/HURR1_/g062839159QC.nc,0.0041327504866542925,211.49999847412107,-2.2780147,-3.030307,2010176N16278,1.0,15.0,3,236.78083817593972,False
data/sondes/qc/HURR1_/g062839205QC.nc,0.0027910964752236125,208.20999755859373,8.223045,11.364375,2010176N16278,0.0,20.0,2,571.5513600262734,False
data/sondes/qc/HURR1_/g062839207QC.nc,0.00299611291743789,207.4699996948242,16.06967,-22.676825,2010176N16278,1.0,15.0,1,1092.1338940055186,True
data/sondes/qc/HURR1_/g062859104QC.nc,0.0039212016992052545,210.83000030517576,2.5978184,-1.7620279,2010176N16278,0.0,20.0,2,576.2359000516004,False
data/sondes/qc/HURR1_/g062919057QC.nc,0.0028861182463009983,208.09000244140623,10.281402,0.63509023,2010176N16278,0.0,20.0,2,571.972883020216,False
data/sondes/qc/HURR1_/g062929102QC.nc,0.006800925531221909,218.10000076293943,10.343476,-12.491346,2010176N16278,1.0,15.0,1,704.5417565897076,True
data/sondes/qc/HURR1_/g062929119QC.nc,0.0027645254765610336,207.76000061035154,-3.6442068,3.1491272,2010176N16278,0.0,20.0,2,289.8780786524885,False
data/sondes/qc/HURR1_/g062939036QC.nc,0.0022417485727183237,207.28999938964841,24.322054,2.7639127,2010176N16278,0.0,20.0,1,758.8190634592469,True
data/sondes/qc/HURR1_/g062939090QC.nc,0.004291165995298821,211.3700012207031,-4.4305973,-2.4559503,2010176N16278,0.0,20.0,3,469.7244759168919,False
data/sondes/qc/HURR1_/g062939096QC.nc,0.002883520598692515,207.92999877929685,3.7936835,0.23210175,2010176N16278,0.0,20.0,2,324.61265773980114,False
data/sondes/qc/HURR1_/g062939102QC.nc,0.002771150020527153,208.70999755859373,11.882314,17.019375,2010176N16278,0.0,20.0,2,580.6764212566004,False
data/sondes/qc/HURR1_/g062939104QC.nc,0.0027107695781218976,208.05000152587888,20.099583,2.0609026,2010176N16278,0.0,20.0,1,595.3560675978595,False
data/sondes/qc/HURR1_/g062939105QC.nc,0.011643861584680016,223.960001373291,-3.36823,-11.661212,2010176N16278,0.0,20.0,1,958.872850907972,True
data/sondes/qc/HURR1_/g071539058QC.nc,0.33842017094628907,284.95000019073484,-2.9628792,0.8604364,2009171N15264,0.0,30.0,1,2035.5061923155283,True
